,dapi_mean,tubulin_mean,actin_mean,dapi_attention,tubulin_attention,actin_attention
Actin disruptors,0.1952956,0.19994278,0.21399009,0.3080729,0.34588343,0.34604368
Aurora kinase inhibitors,0.2241976,0.23431632,0.23241742,0.2904472,0.3455637,0.36398906
DNA damage,0.16103064,0.19789383,0.1948313,0.29130268,0.3447072,0.36399016
DNA replication,0.21853018,0.2802027,0.27444366,0.30354527,0.35691133,0.33954343
Eg5 inhibitors,0.24142978,0.26524085,0.27187347,0.31389844,0.33619195,0.3499096
Epithelial,0.28030473,0.22028716,0.21352541,0.3012169,0.34885016,0.34993297
Microtubule destabilizers,0.2749748,0.28164902,0.24555103,0.31431395,0.34066185,0.34502417
Microtubule stabilizers,0.29547,0.22559237,0.26200396,0.31169596,0.3393342,0.34896988
Protein degradation,0.2383292,0.25871557,0.24764498,0.3065075,0.34584862,0.3476439
Protein synthesis,0.23889475,0.24630277,0.23688492,0.31285518,0.32994145,0.3572033
