compound,concentration,moa,attention,idx,resistance_type,resistance_code,dmso_similarity,moa_similarity,cross_moa,cross_moa_similarity
cytochalasin B,10.0,Actin disruptors,[0.3046196  0.34057155 0.35480878],0,SENSITIVE,0,0.8170180916786194,0.9732307195663452,,0.9937938451766968
cytochalasin B,10.0,Actin disruptors,[0.30422035 0.3395725  0.35620716],1,SENSITIVE,0,0.8319376707077026,0.9802519083023071,,0.9941798448562622
cytochalasin B,10.0,Actin disruptors,[0.304514   0.3374194  0.35806662],2,SENSITIVE,0,0.8208032846450806,0.975939929485321,,0.9955061674118042
cytochalasin B,10.0,Actin disruptors,[0.3011131  0.34104705 0.35783982],3,SENSITIVE,0,0.8117063641548157,0.9688973426818848,,0.9942754507064819
cytochalasin B,10.0,Actin disruptors,[0.29825017 0.34094024 0.36080956],4,SENSITIVE,0,0.8166801929473877,0.9740280508995056,,0.9938584566116333
cytochalasin B,10.0,Actin disruptors,[0.3086458  0.34073055 0.35062364],5,SENSITIVE,0,0.8418924808502197,0.9796280860900879,,0.9902408123016357
cytochalasin B,10.0,Actin disruptors,[0.3018509  0.33929086 0.35885826],6,SENSITIVE,0,0.8205496072769165,0.975517988204956,,0.9956755638122559
cytochalasin B,10.0,Actin disruptors,[0.30384293 0.34429806 0.35185897],7,SENSITIVE,0,0.8154752254486084,0.971113383769989,,0.9955009818077087
cytochalasin B,10.0,Actin disruptors,[0.30521896 0.34004155 0.35473943],8,SENSITIVE,0,0.8337634205818176,0.980158805847168,,0.9943832755088806
cytochalasin B,10.0,Actin disruptors,[0.30553126 0.33629102 0.35817775],9,SENSITIVE,0,0.8211764693260193,0.9744027853012085,,0.9938524961471558
cytochalasin B,10.0,Actin disruptors,[0.2988027  0.337481   0.36371627],10,SENSITIVE,0,0.8235146403312683,0.9765810370445251,,0.9943040609359741
cytochalasin B,10.0,Actin disruptors,[0.30201367 0.341676   0.35631034],11,SENSITIVE,0,0.8251761794090271,0.9758275747299194,,0.993245005607605
cytochalasin B,30.0,Actin disruptors,[0.3036331  0.33833483 0.35803202],12,SENSITIVE,0,0.7653114795684814,0.9439945816993713,,0.9859239459037781
cytochalasin B,30.0,Actin disruptors,[0.30182317 0.33671954 0.3614573 ],13,SENSITIVE,0,0.7629100680351257,0.9354764819145203,,0.9814558625221252
cytochalasin B,30.0,Actin disruptors,[0.30351326 0.3392902  0.3571965 ],14,SENSITIVE,0,0.7661289572715759,0.9435259103775024,,0.984089195728302
cytochalasin B,30.0,Actin disruptors,[0.301357   0.34438747 0.35425553],15,SENSITIVE,0,0.7678542137145996,0.9417206048965454,,0.9831017255783081
cytochalasin B,30.0,Actin disruptors,[0.30697736 0.339187   0.3538356 ],16,SENSITIVE,0,0.7663076519966125,0.9427849054336548,,0.984853208065033
cytochalasin B,30.0,Actin disruptors,[0.3009575  0.33913442 0.35990807],17,SENSITIVE,0,0.767815113067627,0.9420571327209473,,0.9841017723083496
cytochalasin B,30.0,Actin disruptors,[0.30721802 0.3369541  0.3558279 ],18,SENSITIVE,0,0.7660037279129028,0.9436765909194946,,0.9853248596191406
cytochalasin B,30.0,Actin disruptors,[0.3052989  0.3389045  0.35579664],19,SENSITIVE,0,0.7573226094245911,0.9382253885269165,,0.9837338924407959
cytochalasin B,30.0,Actin disruptors,[0.3035067  0.33842364 0.35806966],20,SENSITIVE,0,0.7725167274475098,0.9472070336341858,,0.9853054285049438
cytochalasin B,30.0,Actin disruptors,[0.30595434 0.3362015  0.35784417],21,SENSITIVE,0,0.7675182819366455,0.9406676888465881,,0.9828647971153259
cytochalasin B,30.0,Actin disruptors,[0.30299592 0.33669415 0.36030993],22,SENSITIVE,0,0.7627464532852173,0.9419450163841248,,0.9824583530426025
cytochalasin B,30.0,Actin disruptors,[0.30283588 0.33983296 0.35733125],23,SENSITIVE,0,0.7549444437026978,0.9388903379440308,,0.9822086095809937
cytochalasin D,0.30000001192092896,Actin disruptors,[0.3017432  0.34003475 0.35822204],24,SENSITIVE,0,0.9853488206863403,0.9356849193572998,,0.9939079284667969
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30103213 0.3407497  0.3582182 ],25,SENSITIVE,0,0.9855767488479614,0.9310904145240784,,0.9901087284088135
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30688047 0.34284544 0.35027406],26,SENSITIVE,0,0.9862101674079895,0.936261773109436,,0.9946563243865967
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30608535 0.3464691  0.34744555],27,SENSITIVE,0,0.9862258434295654,0.9431560039520264,,0.9944314360618591
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30116868 0.34028426 0.3585471 ],28,SENSITIVE,0,0.9883953332901001,0.919990062713623,,0.991667628288269
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30200222 0.34284082 0.35515687],29,SENSITIVE,0,0.9924477338790894,0.931887149810791,,0.9946234226226807
cytochalasin D,0.30000001192092896,Actin disruptors,[0.3021546  0.34791574 0.34992972],30,SENSITIVE,0,0.9837633371353149,0.9333323240280151,,0.9891384840011597
cytochalasin D,0.30000001192092896,Actin disruptors,[0.3015824  0.3424418  0.35597587],31,SENSITIVE,0,0.9860477447509766,0.943860650062561,,0.9950096607208252
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30387142 0.34620765 0.34992093],32,SENSITIVE,0,0.9857983589172363,0.9356472492218018,,0.9929667711257935
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30177966 0.34011036 0.35810998],33,SENSITIVE,0,0.9839633703231812,0.936916708946228,,0.9912530183792114
cytochalasin D,0.30000001192092896,Actin disruptors,[0.30308333 0.34126455 0.35565212],34,SENSITIVE,0,0.9825150966644287,0.9325544834136963,,0.9906928539276123
cytochalasin D,0.30000001192092896,Actin disruptors,[0.3079833  0.3458334  0.34618327],35,SENSITIVE,0,0.9822218418121338,0.9405966997146606,,0.9918702840805054
latrunculin B,1.0,Actin disruptors,[0.30656147 0.3389139  0.3545246 ],36,SENSITIVE,0,0.9511173963546753,0.9819846749305725,,0.990404486656189
latrunculin B,1.0,Actin disruptors,[0.30179393 0.33902282 0.35918325],37,SENSITIVE,0,0.9525444507598877,0.9790799021720886,,0.9911025762557983
latrunculin B,1.0,Actin disruptors,[0.3050865  0.34492803 0.34998548],38,SENSITIVE,0,0.956843912601471,0.959881067276001,,0.9825061559677124
latrunculin B,1.0,Actin disruptors,[0.30410343 0.3404507  0.3554459 ],39,SENSITIVE,0,0.9684479236602783,0.9687488675117493,,0.9915803670883179
latrunculin B,1.0,Actin disruptors,[0.3072521  0.34100217 0.35174572],40,SENSITIVE,0,0.9551358222961426,0.9839862585067749,,0.9930168390274048
latrunculin B,1.0,Actin disruptors,[0.3031221  0.34228408 0.35459384],41,SENSITIVE,0,0.9581683874130249,0.9727742075920105,,0.9926289319992065
latrunculin B,1.0,Actin disruptors,[0.30337676 0.3425923  0.3540309 ],42,SENSITIVE,0,0.9610610604286194,0.9751463532447815,,0.9928095936775208
latrunculin B,1.0,Actin disruptors,[0.30338883 0.33683866 0.35977256],43,SENSITIVE,0,0.9597983360290527,0.9770392179489136,,0.9939525723457336
latrunculin B,1.0,Actin disruptors,[0.303923   0.34150746 0.3545695 ],44,SENSITIVE,0,0.9551678895950317,0.9841806292533875,,0.9926576018333435
latrunculin B,1.0,Actin disruptors,[0.30743638 0.34096703 0.35159665],45,SENSITIVE,0,0.9642279744148254,0.9744733572006226,,0.9920077323913574
latrunculin B,1.0,Actin disruptors,[0.3058303  0.33805534 0.35611433],46,SENSITIVE,0,0.9594013690948486,0.9753423929214478,,0.9924757480621338
latrunculin B,1.0,Actin disruptors,[0.30560365 0.340658   0.3537384 ],47,SENSITIVE,0,0.960521936416626,0.9752160310745239,,0.9928653240203857
latrunculin B,3.0,Actin disruptors,[0.30445915 0.33835948 0.35718137],48,SENSITIVE,0,0.8871096968650818,0.9889739751815796,,0.9859097003936768
latrunculin B,3.0,Actin disruptors,[0.3022947  0.343879   0.35382622],49,SENSITIVE,0,0.8938120603561401,0.9900853633880615,,0.986319363117218
latrunculin B,3.0,Actin disruptors,[0.30646905 0.33552212 0.35800883],50,SENSITIVE,0,0.8895881175994873,0.9885703325271606,,0.985589861869812
latrunculin B,3.0,Actin disruptors,[0.30594683 0.3370362  0.357017  ],51,SENSITIVE,0,0.8993594646453857,0.9888441562652588,,0.9846457839012146
latrunculin B,3.0,Actin disruptors,[0.30441925 0.3404429  0.35513788],52,SENSITIVE,0,0.892316997051239,0.9893193244934082,,0.9845840930938721
latrunculin B,3.0,Actin disruptors,[0.30198807 0.34199414 0.3560178 ],53,SENSITIVE,0,0.8839029669761658,0.9886610507965088,,0.985037088394165
latrunculin B,3.0,Actin disruptors,[0.30098066 0.34013996 0.35887942],54,SENSITIVE,0,0.8925522565841675,0.9884741902351379,,0.9857172966003418
latrunculin B,3.0,Actin disruptors,[0.30229715 0.33856466 0.35913816],55,SENSITIVE,0,0.8869656920433044,0.9873497486114502,,0.9861721992492676
latrunculin B,3.0,Actin disruptors,[0.30379036 0.33982426 0.35638547],56,SENSITIVE,0,0.8986894488334656,0.9885191917419434,,0.9853554368019104
latrunculin B,3.0,Actin disruptors,[0.3020415  0.34332252 0.35463592],57,SENSITIVE,0,0.8939066529273987,0.9881808757781982,,0.9835891723632812
latrunculin B,3.0,Actin disruptors,[0.30147773 0.33985195 0.3586703 ],58,SENSITIVE,0,0.8922635316848755,0.990675151348114,,0.9866633415222168
latrunculin B,3.0,Actin disruptors,[0.3037182  0.33815628 0.35812554],59,SENSITIVE,0,0.8968285918235779,0.9901900291442871,,0.9901143312454224
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.303913   0.3385523  0.35753474],60,SENSITIVE,0,0.9956618547439575,0.9657403826713562,,0.9915772080421448
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.2999234  0.33700603 0.36307058],61,SENSITIVE,0,0.9937695264816284,0.9712254405021667,,0.9910747408866882
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.30023783 0.3373168  0.36244532],62,SENSITIVE,0,0.9936014413833618,0.9730085134506226,,0.9942197799682617
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.3020092  0.33863983 0.35935095],63,SENSITIVE,0,0.9930506944656372,0.9755541086196899,,0.9941797852516174
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.30267063 0.3411551  0.3561743 ],64,SENSITIVE,0,0.9949568510055542,0.9707430601119995,,0.9910089373588562
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.3024728  0.33696532 0.36056197],65,SENSITIVE,0,0.9959946870803833,0.9696568250656128,,0.9902626276016235
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.3073054  0.34090668 0.35178792],66,SENSITIVE,0,0.9942501783370972,0.9682103395462036,,0.9894236922264099
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.3062878 0.3355207 0.3581915],67,SENSITIVE,0,0.9945499897003174,0.9680947661399841,,0.9956170320510864
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.30266374 0.33749482 0.35984138],68,SENSITIVE,0,0.9936691522598267,0.9699673652648926,,0.991852879524231
AZ841,0.10000000149011612,Aurora kinase inhibitors,[0.30668935 0.33492416 0.35838643],69,SENSITIVE,0,0.9926605224609375,0.965323805809021,,0.9887816905975342
