compound,concentration,moa,attention,idx,resistance_type,resistance_code,dmso_similarity,moa_similarity,cross_moa,cross_moa_similarity
cytochalasin B,10.0,Actin disruptors,[0.3131054  0.33676404 0.35013056],0,SENSITIVE,0,-0.10044114291667938,0.9919171929359436,,0.9724712371826172
cytochalasin B,10.0,Actin disruptors,[0.30976114 0.3368846  0.35335422],1,SENSITIVE,0,-0.21791556477546692,0.9909005761146545,,0.9659069776535034
cytochalasin B,10.0,Actin disruptors,[0.312019   0.33934504 0.34863597],2,SENSITIVE,0,-0.18958936631679535,0.9899225234985352,,0.9595606327056885
cytochalasin B,10.0,Actin disruptors,[0.31178176 0.33592686 0.35229138],3,SENSITIVE,0,-0.1485247164964676,0.9917643070220947,,0.9733770489692688
cytochalasin B,10.0,Actin disruptors,[0.3074598  0.34290478 0.34963542],4,SENSITIVE,0,-0.18479478359222412,0.9886698126792908,,0.9677010774612427
cytochalasin B,10.0,Actin disruptors,[0.30232322 0.33387166 0.36380515],5,SENSITIVE,0,-0.1478193998336792,0.990594744682312,,0.971557080745697
cytochalasin B,10.0,Actin disruptors,[0.3019694  0.34468323 0.35334736],6,SENSITIVE,0,-0.2091110199689865,0.9627310037612915,,0.9619209170341492
cytochalasin B,10.0,Actin disruptors,[0.3081452  0.34440958 0.34744525],7,SENSITIVE,0,-0.15988661348819733,0.9810193181037903,,0.9762483835220337
cytochalasin B,10.0,Actin disruptors,[0.30912903 0.3418282  0.34904277],8,SENSITIVE,0,-0.23458655178546906,0.9891882538795471,,0.959475040435791
cytochalasin B,10.0,Actin disruptors,[0.3112833  0.34114474 0.34757194],9,SENSITIVE,0,-0.17842517793178558,0.9933630228042603,,0.973312497138977
cytochalasin B,10.0,Actin disruptors,[0.3080224 0.3385119 0.3534657],10,SENSITIVE,0,-0.1393619179725647,0.970291018486023,,0.9740095734596252
cytochalasin B,10.0,Actin disruptors,[0.3131309  0.33702543 0.34984365],11,SENSITIVE,0,-0.18362019956111908,0.9924959540367126,,0.9627159237861633
cytochalasin B,30.0,Actin disruptors,[0.30773163 0.3378563  0.35441205],12,SENSITIVE,0,-0.2371080368757248,0.9826086163520813,,0.9545630216598511
cytochalasin B,30.0,Actin disruptors,[0.3083347 0.3412426 0.3504227],13,SENSITIVE,0,-0.24774055182933807,0.962817370891571,,0.9291864037513733
cytochalasin B,30.0,Actin disruptors,[0.30311963 0.335254   0.36162636],14,SENSITIVE,0,-0.23926113545894623,0.9815447926521301,,0.9577166438102722
cytochalasin B,30.0,Actin disruptors,[0.3054074  0.33915788 0.35543475],15,SENSITIVE,0,-0.26143836975097656,0.9798915982246399,,0.9553670287132263
